"export-plots data (NetLogo 6.1.1)"
"Assignment 4.nlogo"
"05/19/2021 12:28:34:070 +0200"

"MODEL SETTINGS"
"value_of_food","percentage_of_aggressive","view_distance","constant_energy_loss","amount_of_food","number_of_agents"
"100","90","8","5","100","100"

"""Aggressive vs non-aggressive turtles"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1910","0","100","true","""non-aggressive""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""aggressive""","true","0","1","14","1833"
"""non-aggressive""","true","0","1","105","1833"

"""aggressive""",,,,"""non-aggressive"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","14","true","0","0","105","true"
"1","88.79310344827587","14","true","1","11.206896551724139","105","true"
"2","89.76377952755905","14","true","2","10.236220472440944","105","true"
"3","88.80597014925374","14","true","3","11.194029850746269","105","true"
"4","88.73239436619718","14","true","4","11.267605633802818","105","true"
"5","90.27777777777779","14","true","5","9.722222222222223","105","true"
"6","89.54248366013073","14","true","6","10.457516339869281","105","true"
"7","89.80891719745223","14","true","7","10.191082802547772","105","true"
"8","89.74358974358975","14","true","8","10.256410256410255","105","true"
"9","89.74358974358975","14","true","9","10.256410256410255","105","true"
"10","90.0709219858156","14","true","10","9.929078014184398","105","true"
"11","93.23308270676691","14","true","11","6.7669172932330826","105","true"
"12","93.38842975206612","14","true","12","6.6115702479338845","105","true"
"13","93.27731092436974","14","true","13","6.722689075630252","105","true"
"14","95","14","true","14","5","105","true"
"15","94.73684210526315","14","true","15","5.263157894736842","105","true"
"16","95.23809523809523","14","true","16","4.761904761904762","105","true"
"17","93.81443298969072","14","true","17","6.185567010309279","105","true"
"18","92.47311827956989","14","true","18","7.526881720430108","105","true"
"19","92.47311827956989","14","true","19","7.526881720430108","105","true"
"20","91.39784946236558","14","true","20","8.60215053763441","105","true"
"21","91.20879120879121","14","true","21","8.791208791208792","105","true"
"22","91.39784946236558","14","true","22","8.60215053763441","105","true"
"23","92.85714285714286","14","true","23","7.142857142857142","105","true"
"24","92.5925925925926","14","true","24","7.4074074074074066","105","true"
"25","93.42105263157895","14","true","25","6.578947368421052","105","true"
"26","92.64705882352942","14","true","26","7.352941176470589","105","true"
"27","95.3125","14","true","27","4.6875","105","true"
"28","93.93939393939394","14","true","28","6.0606060606060606","105","true"
"29","95.08196721311475","14","true","29","4.918032786885246","105","true"
"30","96.875","14","true","30","3.125","105","true"
"31","96.49122807017544","14","true","31","3.508771929824561","105","true"
"32","96.22641509433963","14","true","32","3.7735849056603774","105","true"
"33","96.61016949152543","14","true","33","3.389830508474576","105","true"
"34","96.42857142857143","14","true","34","3.571428571428571","105","true"
"35","96.42857142857143","14","true","35","3.571428571428571","105","true"
"36","96","14","true","36","4","105","true"
"37","96.42857142857143","14","true","37","3.571428571428571","105","true"
"38","100","14","true","38","0","105","true"
"39","100","14","true","39","0","105","true"
"40","100","14","true","40","0","105","true"
"41","100","14","true","41","0","105","true"
"42","100","14","true","42","0","105","true"
"43","100","14","true","43","0","105","true"
"44","100","14","true","44","0","105","true"
"45","100","14","true","45","0","105","true"
"46","100","14","true","46","0","105","true"
"47","100","14","true","47","0","105","true"
